Jugador,ID,Total Pueblos,OFFs FULL,OFFs MEDIA,Total Hachas,Total Ligeras,Total Arq.Caballo,Total Arietes,Total Catapultas,Pob. Ofensiva Total
,MEDIA,023 ferbarom (480|504) C54,,3912,2202,0,400,20,14880
,MEDIA,024 ferbarom (473|503) C54,,3948,2158,0,400,20,14740
,MEDIA,027 ferbarom (471|507) C54,,3119,1792,0,367,20,12282
,MEDIA,029 ferbarom (470|508) C54,,3759,1950,0,390,20,13669
,MEDIA,033 ferbarom (471|508) C54,,3931,2076,0,400,0,14235
,MEDIA,035 ferbarom (477|503) C54,,3786,1776,0,393,0,12855
,MEDIA,037 ferbarom (471|502) C54,,3526,1781,0,400,0,12650
,MEDIA,046 ferbarom (474|510) C54,,4056,1724,0,400,0,12952
,MEDIA,048 ferbarom (473|511) C54,,4360,2180,0,400,20,15240
,MEDIA,056 ferbarom (484|500) C54,,4150,1905,0,400,20,13930
,MEDIA,057 ferbarom (480|510) C54,,4013,1974,0,400,0,13909
,MEDIA,074 ferbarom (461|492) C44,,3141,1791,0,346,20,12195
,MEDIA,080 ferbarom (466|499) C44,,3377,1795,0,394,20,12687
,MEDIA,083 ferbarom (486|508) C54,,2905,1821,0,400,0,12189
,MEDIA,088 ferbarom (471|500) C54,,3160,1892,0,336,20,12568
Jonax,2085111,58,10,3,117498,53288,0,7615,2647,389901
,FULL,ZzZ (456|517) C54,,5073,2526,0,240,189,17889
,FULL,ZzZ (466|491) C44,,6048,2700,0,348,250,20588
,FULL,ZzZ (464|522) C54,,5130,2372,0,233,179,17215
,FULL,ZzZ (469|484) C44,,7490,3398,0,500,0,23582
,FULL,ZzZ (463|524) C54,,6048,2700,0,350,250,20598
,FULL,ZzZ (459|521) C54,,4523,2566,0,224,156,17155
,FULL,ZzZ (457|522) C54,,6048,2700,0,275,197,19799
,FULL,ZzZ (467|519) C54,,6048,2700,0,343,250,20563
,FULL,ZzZ (465|500) C54,,6048,2700,0,327,233,20347
,FULL,ZzZ (460|520) C54,,4734,2556,0,357,90,17463
,MEDIA,ZzZ (464|523) C54,,4462,1274,0,242,173,12152
,MEDIA,ZzZ (454|522) C54,,4080,2117,0,229,170,15053
,MEDIA,ZzZ (457|517) C54,,3791,1900,0,349,8,13200
Opsora,1884912,87,9,8,131072,78953,76,9099,2939,516271
,FULL,010 eNaSnI? (456|557) C54,,5995,3202,0,240,45,20363
,FULL,018 eNaSnI? (454|556) C54,,4589,2432,0,238,339,18219
,FULL,019 eNaSnI? (453|560) C54,,5994,3238,0,245,60,20651
,FULL,022 eNaSnI? (441|552) C54,,5418,3211,0,245,60,19967
,FULL,023 eNaSnI? (454|558) C54,,4904,2602,0,243,60,17007
,FULL,037 eNaSnI? (465|551) C54,,4135,2949,0,232,91,17819
,FULL,040 eNaSnI? (465|550) C54,,5231,2806,0,245,60,18160
,FULL,042 eNaSnI? (452|553) C54,,4783,2968,0,245,60,18360
,FULL,046 eNaSnI? (467|549) C54,,4258,2660,0,245,60,16603
,MEDIA,006 eNaSnI? (466|559) C54,,2666,1689,0,547,76,12765
,MEDIA,011 eNaSnI? (453|558) C54,,2849,2756,0,245,60,15578
,MEDIA,024 eNaSnI? (454|559) C54,,4077,2469,0,245,60,15658
,MEDIA,027 eNaSnI? (466|546) C54,,3201,1872,76,245,94,13046
,MEDIA,031 eNaSnI? (460|566) C54,,3893,2158,0,235,94,14452
,MEDIA,039 eNaSnI? (464|555) C54,,3322,2452,0,245,60,14835
,MEDIA,043 eNaSnI? (457|558) C54,,4364,2414,0,238,60,15690
,MEDIA,044 eNaSnI? (460|559) C54,,2062,2124,0,213,60,12103
Samutmt10,2130313,65,8,3,91892,40643,33,8226,804,302191
,FULL,001 (443|526) C54,,7882,3000,15,392,50,22317
,FULL,006 (445|529) C54,,5413,2314,0,394,50,17039
,FULL,008 (440|520) C54,,6779,2500,0,392,50,19139
,FULL,009 (440|519) C54,,5326,2311,0,400,50,16970
,FULL,014 (439|514) C54,,6963,2500,0,390,50,19313
,FULL,015 (437|512) C54,,6901,2458,0,383,49,19040
,FULL,016 (436|507) C54,,5834,2500,0,400,50,18234
,FULL,033 (438|518) C54,,5050,2500,0,377,50,17335
,MEDIA,029 (437|518) C54,,3641,2155,0,368,50,14501
,MEDIA,030 a (437|522) C54,,3623,1743,0,400,50,12995
,MEDIA,052 (445|524) C54,,4845,2070,0,400,50,15525
rabagalan73,362199,85,6,10,141065,58956,6307,10866,3774,492946
,FULL,|| ~Bollo~ || Bull2ser (479|531) C54,,5103,2155,228,400,150,18063
,FULL,|| ~Bollo~ || Granjero Demente (471|541) C54,,6077,2800,250,391,129,21514
,FULL,|| ~Bollo~ || Rosadito (471|550) C54,,5977,2500,250,364,140,20167
,FULL,|| ~Bollo~ || Saly Bollo Oscuro (490|514) C54,,6296,2640,250,352,118,20810
,FULL,|| ~Bollo~ || Samu Dinamita (468|540) C54,,5933,2581,250,406,76,20145
